,value_factor,rho,p_val,no_items,no_pos,no_prop,p_bonferonni
0,1.0002688420173012,0.9928571428571428,2.1681214863293047e-13,23.0,15.0,2.0,2.1681214863293048e-10
1,1.0030787449312464,0.7549019607843138,0.0004602984125426377,23.0,17.0,3.0,0.4602984125426377
2,1.0043448745158867,0.8823529411764706,1.2678715297879369e-06,22.0,18.0,3.0,0.0012678715297879369
3,1.001897073235539,0.6433566433566434,0.024003191200713644,14.0,12.0,3.0,24.003191200713644
4,1.0,0.9999999999999999,6.646897422032013e-64,11.0,10.0,3.0,6.646897422032013e-61
5,1.009370409410273,0.943859649122807,1.3339955796336925e-09,27.0,19.0,3.0,1.3339955796336925e-06
6,1.0,1.0,0.0,12.0,11.0,2.0,0.0
7,1.0042953764849443,0.975438596491228,1.3190643557743196e-12,27.0,19.0,4.0,1.3190643557743195e-09
8,1.0084642244475823,0.5515151515151515,0.09840117666963498,15.0,10.0,2.0,98.40117666963498
9,1.0001828548260088,0.990909090909091,3.762571807085399e-09,14.0,11.0,2.0,3.762571807085399e-06
10,1.0095367008571305,0.4197802197802198,0.13510107382914271,15.0,14.0,4.0,135.1010738291427
11,1.0037500950959573,0.9607142857142855,1.3027489790343413e-08,21.0,15.0,2.0,1.3027489790343412e-05
12,1.0,1.0,0.0,19.0,13.0,2.0,0.0
13,1.014830116812544,0.9192982456140351,2.6791023376473904e-08,24.0,19.0,2.0,2.6791023376473905e-05
14,1.0016036031179854,0.9896800825593396,6.262894222146963e-15,22.0,18.0,2.0,6.262894222146963e-12
15,0.987104121365332,0.7147058823529412,0.0018627410999474353,22.0,16.0,4.0,1.8627410999474354
16,0.9999999999999999,1.0,0.0,12.0,11.0,4.0,0.0
17,0.9914663188528714,0.7750257997936018,0.00015833782693194364,20.0,18.0,4.0,0.15833782693194365
18,0.9994953290909464,0.990909090909091,3.762571807085399e-09,12.0,11.0,2.0,3.762571807085399e-06
19,1.0017904191906375,0.901098901098901,2.613862202954826e-05,19.0,13.0,2.0,0.02613862202954826
20,0.9963786415380339,0.9368421052631579,3.5437779291315266e-09,23.0,19.0,4.0,3.5437779291315266e-06
21,1.0081104349659236,0.9727272727272729,5.14217704904919e-07,13.0,11.0,2.0,0.000514217704904919
22,0.9945593820437433,0.9464285714285712,9.447938510352392e-08,22.0,15.0,4.0,9.447938510352391e-05
23,1.0055167016296016,0.9340659340659341,2.998703750099579e-06,16.0,13.0,4.0,0.002998703750099579
24,1.0079065295055827,0.8928571428571428,7.4947360645682566e-06,19.0,15.0,3.0,0.007494736064568256
25,1.0143493255238811,0.9719298245614034,4.0553496335086995e-12,26.0,19.0,3.0,4.0553496335087e-09
26,1.0045649675104156,0.9252747252747253,2.1365703496108153e-06,20.0,14.0,2.0,0.002136570349610815
27,0.985433522542166,0.690909090909091,0.018565033381595004,16.0,11.0,4.0,18.565033381595004
28,1.0027733193405752,0.9818181818181818,8.403066433955246e-08,12.0,11.0,3.0,8.403066433955245e-05
29,1.0260688353029173,0.5879120879120878,0.03458605834210788,15.0,13.0,4.0,34.58605834210788
30,1.0027734468312428,0.7911764705882354,0.0002619464480824597,20.0,16.0,4.0,0.2619464480824597
31,1.0068058209382627,0.8725490196078433,4.914594673940109e-06,21.0,17.0,3.0,0.004914594673940109
32,1.005147807616527,0.9649122807017543,1.0347287642285863e-10,20.0,18.0,3.0,1.0347287642285864e-07
33,1.006105859937752,0.9090909090909092,4.1910446530342335e-05,15.0,12.0,2.0,0.041910446530342337
34,1.0025818903353099,0.9835164835164836,1.611214573209521e-09,14.0,13.0,2.0,1.611214573209521e-06
35,1.0018834600920306,0.9790209790209792,3.0898013985487064e-08,14.0,12.0,2.0,3.0898013985487066e-05
36,0.9874053083148002,0.8186813186813187,0.0006209883849300375,17.0,13.0,4.0,0.6209883849300375
37,1.0049125770653131,0.9676470588235294,9.132894807195552e-10,18.0,16.0,4.0,9.132894807195552e-07
38,1.004244599130292,0.9790209790209792,3.0898013985487064e-08,15.0,12.0,3.0,3.0898013985487066e-05
39,1.0032507528452903,0.981424148606811,6.725639702470495e-13,20.0,18.0,2.0,6.725639702470495e-10
40,1.0021234045470104,0.9803921568627453,5.40869606994842e-12,19.0,17.0,3.0,5.40869606994842e-09
41,1.0028207326514993,0.9725274725274725,2.6191330438273957e-08,18.0,13.0,3.0,2.6191330438273956e-05
42,0.9992977253065584,0.9588235294117649,4.825540771378695e-09,19.0,16.0,4.0,4.825540771378695e-06
43,0.9988962804414474,0.5804195804195805,0.04785597684206059,16.0,12.0,2.0,47.85597684206059
44,1.0,1.0,0.0,18.0,17.0,2.0,0.0
45,1.0028656740414477,0.9938080495356036,1.065568864594519e-16,25.0,18.0,2.0,1.065568864594519e-13
46,1.0097215433211773,0.887719298245614,3.973316985545687e-07,21.0,19.0,3.0,0.0003973316985545687
47,0.9971237783015441,0.9440559440559443,3.9272610809659444e-06,15.0,12.0,4.0,0.0039272610809659445
48,1.0000910445146973,0.9030303030303028,0.00034361219776328223,15.0,10.0,4.0,0.3436121977632822
49,0.9981972355492817,0.4725274725274725,0.10298105029992852,14.0,13.0,4.0,102.98105029992851
50,1.000488172046996,0.9205882352941176,4.3204104274523115e-07,23.0,16.0,4.0,0.00043204104274523116
51,0.9996719948612054,0.9749999999999999,7.14370596522927e-10,18.0,15.0,3.0,7.143705965229271e-07
52,1.0060525495193346,0.9736842105263157,2.357054997299057e-12,23.0,19.0,4.0,2.357054997299057e-09
53,1.0022811680053867,0.9362745098039217,3.2834187890278755e-08,22.0,17.0,3.0,3.283418789027875e-05
54,1.0010272437387093,0.9868131868131869,7.379504109330886e-11,18.0,14.0,2.0,7.379504109330887e-08
55,1.0000578985857405,0.9912280701754386,2.200851783163643e-16,27.0,19.0,4.0,2.200851783163643e-13
56,1.0023201984153294,0.9030303030303028,0.00034361219776328223,14.0,10.0,3.0,0.3436121977632822
57,1.0159940809414778,0.9422084623323013,5.214680253289597e-09,21.0,18.0,4.0,5.214680253289597e-06
58,1.0001188348219578,0.8844169246646028,1.107920999077685e-06,23.0,18.0,4.0,0.001107920999077685
59,1.004195104292711,0.9794117647058824,3.982009789755264e-11,22.0,16.0,3.0,3.9820097897552636e-08
60,0.9961914493770853,0.9230769230769231,1.8621951098680987e-05,13.0,12.0,4.0,0.018621951098680988
61,1.0115811750635537,0.8956043956043955,3.480972994482087e-05,14.0,13.0,3.0,0.034809729944820865
62,1.0034919897883072,0.9181818181818183,6.661451941355563e-05,12.0,11.0,4.0,0.06661451941355563
63,0.9990374862966243,0.9636363636363635,7.320974809529922e-06,15.0,10.0,4.0,0.0073209748095299215
64,0.9985320047958517,0.9860139860139862,4.1168959116543284e-09,16.0,12.0,3.0,4.116895911654328e-06
65,0.9683597980634686,0.5757575757575757,0.08155281477260236,14.0,10.0,2.0,81.55281477260236
66,1.007530825644575,0.9818181818181818,8.403066433955246e-08,17.0,11.0,2.0,8.403066433955245e-05
67,1.0059343976511521,0.967032967032967,7.064113887175154e-08,17.0,13.0,2.0,7.064113887175154e-05
68,1.011737264738069,0.9878787878787878,9.307459988955517e-08,12.0,10.0,2.0,9.307459988955517e-05
69,0.9995200619539044,0.9370629370629372,6.99316495321054e-06,17.0,12.0,3.0,0.00699316495321054
70,1.000033585839952,0.8741258741258742,0.00020071307332423193,13.0,12.0,3.0,0.20071307332423194
71,1.004320043786384,0.988235294117647,8.108881053980581e-13,20.0,16.0,2.0,8.108881053980581e-10
72,0.9987379765650609,0.7852941176470588,0.00031285391788601143,17.0,16.0,4.0,0.3128539178860114
73,1.0022758564767802,0.9941176470588234,6.4339974884469385e-15,17.0,16.0,3.0,6.4339974884469384e-12
74,1.0028536915455182,0.8549450549450549,9.766040002967738e-05,19.0,14.0,3.0,0.09766040002967738
75,1.007455626467588,0.965686274509804,3.446356358407721e-10,19.0,17.0,4.0,3.446356358407721e-07
76,0.9755685653794526,0.690909090909091,0.018565033381595004,13.0,11.0,4.0,18.565033381595004
77,1.0023217750473497,0.9440559440559443,3.9272610809659444e-06,18.0,12.0,3.0,0.0039272610809659445
78,1.0054724677718936,0.9860139860139862,4.1168959116543284e-09,18.0,12.0,2.0,4.116895911654328e-06
79,1.0000904251914968,0.9892857142857142,2.9989342571550623e-12,23.0,15.0,3.0,2.9989342571550625e-09
80,1.0066352933375935,0.9280701754385964,1.0385054272333297e-08,27.0,19.0,3.0,1.0385054272333297e-05
81,1.0116875450961493,0.9384615384615385,6.86120148176667e-07,18.0,14.0,3.0,0.000686120148176667
82,1.0006329702899814,0.9208791208791209,2.981543161456545e-06,21.0,14.0,2.0,0.0029815431614565453
83,1.007776304947481,0.9790209790209792,3.0898013985487064e-08,17.0,12.0,2.0,3.0898013985487066e-05
84,1.003009573334459,0.982843137254902,2.000914024116428e-12,22.0,17.0,2.0,2.000914024116428e-09
85,1.018640831408322,0.9395604395604396,1.8782484299388895e-06,16.0,13.0,2.0,0.0018782484299388895
86,1.002746955554719,0.989010989010989,1.7507283021964818e-10,17.0,13.0,2.0,1.7507283021964818e-07
87,0.9872571969248083,0.8989010989010989,1.2358700865600781e-05,16.0,14.0,4.0,0.01235870086560078
88,0.9983063454417466,0.9545454545454546,4.988898739949763e-06,12.0,11.0,2.0,0.004988898739949763
89,0.9987036411153081,0.9615384615384615,1.631768081069998e-07,16.0,13.0,2.0,0.00016317680810699978
90,1.000986888444135,0.9749999999999999,7.14370596522927e-10,16.0,15.0,3.0,7.143705965229271e-07
91,1.0,0.9999999999999999,6.646897422032013e-64,12.0,10.0,3.0,6.646897422032013e-61
92,0.9969737117536349,0.9749999999999999,7.14370596522927e-10,18.0,15.0,3.0,7.143705965229271e-07
93,1.0,1.0,0.0,16.0,11.0,4.0,0.0
94,1.007612476113113,0.9878787878787878,9.307459988955517e-08,15.0,10.0,2.0,9.307459988955517e-05
95,1.001788843481981,0.9930069930069931,1.3016730560634403e-10,13.0,12.0,2.0,1.3016730560634403e-07
96,1.0188528423768206,0.8601398601398602,0.0003316683391269209,15.0,12.0,3.0,0.3316683391269209
97,1.0007090746164902,0.9970588235294118,5.0655883449921147e-17,17.0,16.0,3.0,5.065588344992115e-14
98,1.0000746147600013,0.9956043956043955,1.0315953358848785e-13,17.0,14.0,2.0,1.0315953358848785e-10
