,value_factor,rho,p_val,no_items,no_pos,no_prop,p_bonferonni
0,0.9999307576154464,0.9300699300699302,1.170222792865967e-05,17.0,12.0,3.0,0.00011702227928659669
1,1.0078197121109553,0.9596491228070174,8.502425115286678e-11,24.0,19.0,2.0,8.502425115286678e-10
2,1.012689702427836,0.8545454545454544,0.0016368033159867143,13.0,10.0,3.0,0.016368033159867144
3,0.9841086321154929,0.5071428571428571,0.05366366378080588,21.0,15.0,4.0,0.5366366378080588
4,1.0048373141531932,0.9157894736842105,3.800188678731913e-08,23.0,19.0,2.0,3.8001886787319134e-07
5,0.0,,,15.0,12.0,2.0,
6,0.9901621715142723,0.9090909090909091,0.00010559337630360869,16.0,11.0,4.0,0.001055933763036087
7,0.0,,,14.0,13.0,4.0,
8,0.0,,,14.0,12.0,4.0,
9,0.0,,,17.0,15.0,4.0,
