,price of fairness,viol_coeff,max_unfairness,no_items,no_pos,no_prop
0,0.05529134961412752,1.16565174567401,1.5509179452009008,18.0,12.0,4.0
1,0.06828682580157411,1.1689629420834629,1.2992712708082153,16.0,13.0,4.0
2,0.014099377449268573,1.1585091744365374,1.0500095347641607,18.0,13.0,3.0
3,0.0016106730456969473,1.157935600072371,1.3483656616946298,22.0,15.0,4.0
4,0.0,1.1769725420827108,1.0239355646841386,16.0,14.0,3.0
5,0.007261510228616963,1.1934907347675774,1.1202327657815638,18.0,16.0,4.0
6,0.0,1.1947281033546147,0.9636449340527864,21.0,16.0,3.0
7,0.018070672261030332,1.1726478450997972,1.1629858065368528,26.0,19.0,3.0
8,0.008893989722231767,1.1496322357027295,1.5720032820763505,16.0,12.0,4.0
9,0.0,1.1303553955561823,1.1191874213828594,23.0,17.0,2.0
10,0.0018022778233760688,1.139534664818593,1.1521400158126274,17.0,16.0,4.0
11,1.197726662452565e-16,1.1873555505439701,1.046322584948911,22.0,16.0,4.0
12,0.022253300050187375,1.111648068111452,1.201656528754037,17.0,16.0,4.0
13,0.007452508972905486,1.131023321131762,1.0906803692284988,25.0,17.0,3.0
14,0.006872622177339611,1.1604603918653535,0.908211017155746,19.0,13.0,3.0
15,0.0,1.1468070991336363,0.890941193299833,27.0,18.0,2.0
16,0.0010875011508706036,1.162846256338702,0.9566250606718357,26.0,19.0,3.0
17,-1.1470425067451245e-16,1.1923411324618212,1.0696399510721444,18.0,16.0,3.0
18,0.03488846106133749,1.1058339081263129,0.9434017087078584,15.0,10.0,2.0
19,0.014496126628764192,1.118483144858737,1.1772131246416209,25.0,17.0,4.0
20,0.052936554850831874,1.1768580774602888,1.0620157069444949,17.0,12.0,4.0
21,-1.5775765596153613e-16,1.1411258109304654,0.9159795751977629,21.0,19.0,2.0
22,0.0026072127389767967,1.126662247981694,1.2083503506258708,23.0,17.0,4.0
23,0.029692071028912973,1.169987970081417,1.2466507544430945,19.0,14.0,3.0
24,0.012813543850919814,1.1633769015173694,0.9909060852454273,23.0,18.0,3.0
25,0.015407450324129072,1.18308030521687,1.386692226209895,18.0,17.0,4.0
26,0.0002399335618999038,1.194092554531122,0.8864868027856949,15.0,12.0,2.0
27,0.004787786760312781,1.1060515493629992,1.2190447046004032,13.0,11.0,3.0
28,0.0038966526344708934,1.1190371418131395,0.9242240830476269,20.0,17.0,3.0
29,0.0019413756729607962,1.184767696673349,1.2976295927418704,20.0,17.0,4.0
30,0.022638358815218626,1.1123733616561648,1.0664656337236518,21.0,16.0,4.0
31,0.013495073514214107,1.1918417156008443,0.8707265950711611,17.0,13.0,3.0
32,0.024693991631985348,1.1375282024261941,1.127888652879536,14.0,12.0,4.0
33,0.0,1.1356919697945784,1.0195000878304563,16.0,12.0,2.0
34,1.6310994938792791e-16,1.171885420607937,1.0191203534344595,17.0,11.0,4.0
35,0.0004917791855279693,1.1666084765219247,0.9242341778148491,22.0,18.0,2.0
36,0.02690552605064435,1.1312882344720785,1.6163133897642448,25.0,17.0,4.0
37,4.540894455421366e-06,1.1196227761357787,0.9150981626647952,15.0,13.0,2.0
38,0.006014443972103379,1.1885667853996842,1.2713926657941386,23.0,19.0,4.0
39,-2.5467918530695187e-16,1.16557755501222,0.9209582204329638,27.0,19.0,2.0
40,0.0083599375940777,1.1916119433332744,1.0976773517452714,16.0,13.0,4.0
41,0.004802813076894521,1.1824394305162769,1.1823252352693305,19.0,18.0,3.0
42,0.005167234609904295,1.1029155745199848,1.0243911739882374,25.0,19.0,4.0
43,0.00686860568075964,1.1326907576661722,0.9311227046690415,17.0,13.0,4.0
44,0.023823953571994353,1.163760281698431,1.0463596880061867,15.0,14.0,2.0
45,0.0076765145314295555,1.1438563734360525,1.5202755725359787,18.0,17.0,3.0
46,0.014006234828216155,1.1329744311011885,1.0718480704596105,18.0,12.0,4.0
47,0.004039962717519739,1.1073679999964392,1.1444900158217932,29.0,19.0,4.0
48,0.011997774702186017,1.1300892713247286,1.029462686200422,20.0,13.0,2.0
49,0.08434556514730503,1.1335724516192252,1.3483085404680375,11.0,10.0,3.0
50,0.0028032197371142932,1.194401216056897,0.9475857907789036,18.0,16.0,3.0
51,1.186312423892289e-16,1.1631548240811767,1.0710616025438335,25.0,19.0,2.0
52,0.02808746017851815,1.1609408386878761,2.080575464085189,14.0,10.0,3.0
53,0.0009426718656808965,1.1481317753349465,0.9766457945371406,26.0,19.0,3.0
54,0.005233439918621052,1.1882200530632105,1.2361319474391363,18.0,13.0,4.0
55,0.009006149339744765,1.1367204468965235,1.3494586250282812,25.0,17.0,4.0
56,0.01163760054441555,1.1597886131769426,1.430339986442029,12.0,10.0,4.0
57,0.009984080819927726,1.1006131024302257,1.2931818514688305,11.0,10.0,4.0
58,0.0,1.1788706259243775,1.084522993404265,20.0,17.0,2.0
59,0.0,1.1478798359903155,0.9793663232512633,19.0,17.0,3.0
60,4.688807736141225e-05,1.1503393017181143,0.9096743675370628,25.0,17.0,3.0
61,0.0013230910645964154,1.1511937709017623,1.2303743371639246,19.0,13.0,3.0
62,-1.2452615670504547e-16,1.1886742254518394,0.8623265646071878,24.0,16.0,2.0
63,0.02097234761041101,1.1339596282616293,1.5412548854246069,23.0,16.0,4.0
64,0.00655228913903034,1.195966797044681,0.9451507925170839,25.0,18.0,3.0
65,0.028701770997517057,1.1775676080895496,1.073383073656008,14.0,11.0,3.0
66,1.1368102895656988e-16,1.1657064147063045,1.2122976422319494,19.0,17.0,3.0
67,-1.3769667227527666e-16,1.1011557147559434,1.1095484247331453,21.0,19.0,2.0
68,0.00019445672494123543,1.127999873926,0.962439204157673,20.0,15.0,2.0
69,0.00853303141497923,1.1885574075603937,1.1239337587313767,14.0,11.0,4.0
70,0.05284747977268033,1.1974164544674788,1.8681655326816786,12.0,10.0,4.0
71,0.0,1.1317497235539498,1.0363790125456602,21.0,15.0,3.0
72,-1.5094865630661242e-16,1.1439895988894275,1.0986019939900846,21.0,17.0,4.0
73,0.012551514480518314,1.1032167743816712,1.0912755106162886,19.0,13.0,4.0
74,-1.752032931814565e-16,1.1941651451802244,1.2170301994531048,14.0,12.0,4.0
75,0.00867444958292476,1.1115634889101262,1.4304091477463208,17.0,16.0,3.0
76,0.023515876791916468,1.117709868811775,1.1094551609059171,13.0,12.0,4.0
77,0.0,1.1653411750354217,1.188013463954535,18.0,14.0,4.0
78,0.01156091422803487,1.1006922505459,1.0834603207684692,19.0,16.0,2.0
79,0.0005802962562476424,1.173761793728356,0.9164747849718748,25.0,18.0,2.0
80,0.010494101955008096,1.1946637718431063,1.0327639804877922,16.0,14.0,3.0
81,0.0,1.182058732379704,1.2193899623813644,19.0,13.0,4.0
82,0.0,1.1233200523643787,1.3049347592622207,15.0,13.0,3.0
83,0.02726597408013194,1.1009691183546286,1.3252014445551168,18.0,13.0,4.0
84,0.007425317691906935,1.1017563445403002,1.048586011802974,13.0,12.0,3.0
85,0.03491438447568185,1.182783005230901,1.3108706652535649,16.0,14.0,4.0
86,0.0003068223943926991,1.1645378349452171,1.0900302045810493,26.0,18.0,4.0
87,0.02574816213846211,1.1328305295926397,1.039112724177167,12.0,11.0,4.0
88,0.0077139628288287404,1.1929417706626457,0.8726521337059443,19.0,16.0,2.0
89,0.0,1.13595800301699,1.083892731843649,25.0,19.0,2.0
90,0.006121310739109137,1.1718664296942585,1.1302855362356503,20.0,16.0,3.0
91,0.000430848432932993,1.1872355055377113,1.1238452186254113,24.0,19.0,3.0
92,0.0077222170101377075,1.1278396265455295,0.9811078477990332,23.0,17.0,2.0
93,0.00044414553487953076,1.1025434236878038,0.977822273269631,17.0,13.0,2.0
94,0.008362595312206136,1.1545590973660944,1.0473934632926962,15.0,11.0,4.0
95,0.007643597114245205,1.148757784938931,1.322649692764708,27.0,18.0,4.0
96,0.015732696774985688,1.1371250444545675,1.2676111048852854,15.0,12.0,4.0
97,0.013927761333028452,1.1460544812153521,1.2489009639591617,14.0,10.0,4.0
98,0.0019239910312370014,1.1285742148539486,1.0238207875287568,22.0,17.0,3.0
